"Player","Team","Opponent","FD Position","FD Salary","FD Projection","FD Value","FD Ownership","FDSlateID","FD Ceiling"
"Los Angeles Rams","LA","DET","D","4900","8.8","1.1","7.9","65523-12538","14.3"
"Antonio Gibson","WAS","GB","RB","6600","12.1","1.0","2.4","65523-90933","17.1"
"Terry McLaurin","WAS","GB","WR","7200","13.2","1.0","9.5","65523-56250","18.1"
"New York Jets","NYJ","NE","D","3300","5.6","1.0","7.7","65523-12544","9.8"
"Aaron Jones","GB","WAS","RB","8500","15.8","0.9","12.5","65523-40442","22.7"
"Mecole Hardman","KC","TEN","WR","5400","9.6","0.9","10.5","65523-71352","16.0"
"Hunter Renfrow","LV","PHI","WR","5600","10.0","0.9","9.3","65523-57986","15.0"
"Kyle Pitts","ATL","MIA","TE","6100","10.9","0.8","13.0","65523-86080","16.4"
"Henry Ruggs III","LV","PHI","WR","5700","9.8","0.6","6.6","65523-90537","15.5"
"James Conner","ARI","HOU","RB","6500","11.4","0.5","7.1","65523-40687","17.7"
"Allen Robinson II","CHI","TB","WR","5800","10.0","0.5","9.7","65523-28643","13.4"
"Atlanta Falcons","ATL","MIA","D","3900","6.2","0.5","3.1","65523-12525","10.7"
"Carolina Panthers","CAR","NYG","D","4500","7.3","0.4","2.1","65523-12553","12.2"
"Mike Davis","ATL","MIA","RB","6300","10.8","0.3","5.9","65523-30635","16.0"
"Mike Gesicki","MIA","ATL","TE","6000","10.2","0.3","11.0","65523-56265","14.9"
"Baltimore Ravens","BAL","CIN","D","4300","6.9","0.3","2.6","65523-12555","11.6"
"Justin Fields","CHI","TB","QB","6500","14.3","0.2","0.5","65523-91591","21.1"
"Darnell Mooney","CHI","TB","WR","5900","9.9","0.2","6.4","65523-69777","13.1"
"Jared Goff","DET","LA","QB","6700","14.9","0.2","0.5","65523-38435","19.1"
"AJ Dillon","GB","WAS","RB","5400","8.9","0.2","2.2","65523-93107","13.4"
"A.J. Green","ARI","HOU","WR","5600","9.2","0.1","3.1","65523-14187","15.9"
"Mac Jones","NE","NYJ","QB","6800","15.1","0.1","0.5","65523-90584","21.1"
"Las Vegas Raiders","LV","PHI","D","4200","6.5","0.1","0.8","65523-12537","11.1"
"Darius Slayton","NYG","CAR","WR","5500","8.9","0.0","4.0","65523-63819","12.9"
"Zach Wilson","NYJ","NE","QB","6400","13.8","0.0","0.5","65523-90406","18.5"
"Philadelphia Eagles","PHI","LV","D","3500","4.9","0.0","3.0","65523-12545","8.9"
"Sam Darnold","CAR","NYG","QB","7700","17.6","-0.2","0.5","65523-63589","25.3"
"Corey Davis","NYJ","NE","WR","5900","9.5","-0.2","4.5","65523-45439","13.1"
"Tyler Johnson","TB","CHI","WR","4800","7.2","-0.3","4.1","65523-68712","12.7"
"Kansas City Chiefs","KC","TEN","D","3400","4.4","-0.3","5.4","65523-12536","8.2"
"Rashod Bateman","BAL","CIN","WR","5300","8.1","-0.4","2.1","65523-85845","13.1"
"Cincinnati Bengals","CIN","BAL","D","3500","4.5","-0.4","1.3","65523-12528","8.4"
"Tyler Boyd","CIN","BAL","WR","5800","9.0","-0.5","0.9","65523-40669","12.6"
"Amon-Ra St. Brown","DET","LA","WR","5400","8.2","-0.5","2.5","65523-86997","10.9"
"Dallas Goedert","PHI","LV","TE","5900","9.1","-0.6","12.0","65523-83074","13.6"
"Kalif Raymond","DET","LA","WR","5500","8.2","-0.7","0.5","65523-70422","11.5"
"Ricky Seals-Jones","WAS","GB","TE","5400","7.9","-0.8","7.0","65523-40977","11.5"
"Miami Dolphins","MIA","ATL","D","4000","5.1","-0.8","0.5","65523-12539","9.2"
"Christian Kirk","ARI","HOU","WR","6200","9.4","-0.9","4.5","65523-60858","16.2"
"Rondale Moore","ARI","HOU","WR","5800","8.6","-0.9","1.7","65523-93408","14.9"
"Mark Ingram II","HOU","ARI","RB","5400","7.8","-0.9","0.5","65523-14211","10.8"
"Bryan Edwards","LV","PHI","WR","5200","7.4","-0.9","0.6","65523-69276","12.3"
"Jamison Crowder","NYJ","NE","WR","5800","8.6","-0.9","0.5","65523-24755","11.7"
"T.J. Hockenson","DET","LA","TE","6200","9.3","-1.0","5.6","65523-71706","12.3"
"Robert Tonyan","GB","WAS","TE","5100","7.1","-1.0","2.4","65523-80353","12.4"
"Brandon Bolden","NE","NYJ","RB","5000","6.9","-1.0","0.5","65523-22898","11.5"
"Davis Mills","HOU","ARI","QB","6400","12.8","-1.1","0.5","65523-89628","16.6"
"Evan Engram","NYG","CAR","TE","5000","6.8","-1.1","5.8","65523-41872","9.9"
"Marquise Brown","BAL","CIN","WR","7300","11.2","-1.2","0.8","65523-86687","17.2"
"DeAndre Hopkins","ARI","HOU","WR","8000","12.5","-1.3","5.8","65523-16606","20.0"
"Mark Andrews","BAL","CIN","TE","7500","11.5","-1.3","3.4","65523-52436","17.5"
"Van Jefferson Jr.","LA","DET","WR","5500","7.6","-1.3","0.5","65523-64581","14.0"
"Houston Texans","HOU","ARI","D","3000","2.6","-1.3","0.9","65523-12556","5.8"
"Cole Kmet","CHI","TB","TE","4900","6.3","-1.4","2.0","65523-91047","8.7"
"Jamaal Williams","DET","LA","RB","5300","7.1","-1.4","0.5","65523-45631","10.1"
"Darren Waller","LV","PHI","TE","6800","10.1","-1.4","13.0","65523-25011","15.3"
"Tyler Higbee","LA","DET","TE","5500","7.5","-1.4","8.1","65523-47870","13.9"
"Devonta Freeman","BAL","CIN","RB","5700","7.8","-1.5","0.5","65523-24920","11.9"
"Cordarrelle Patterson","ATL","MIA","WR/RB","8000","12.2","-1.6","4.2","65523-30733","18.3"
"Dyami Brown","WAS","GB","WR","4900","6.1","-1.6","0.5","65523-93538","9.3"
"Nelson Agholor","NE","NYJ","WR","5500","7.2","-1.7","0.5","65523-29683","11.8"
"J.D. McKissic","WAS","GB","RB","5700","7.6","-1.7","1.7","65523-43334","11.6"
"Tennessee Titans","TEN","KC","D","3200","2.7","-1.7","0.9","65523-12534","5.8"
"Russell Gage","ATL","MIA","WR","5200","6.5","-1.8","0.5","65523-52916","10.6"
"Kenneth Gainwell","PHI","LV","RB","5200","6.5","-1.8","0.5","65523-90912","10.6"
"Preston Williams","MIA","ATL","WR","5200","6.4","-1.9","0.5","65523-62967","10.4"
"Dante Pettis","NYG","CAR","WR","5200","6.4","-1.9","1.2","65523-56698","9.6"
"O.J. Howard","TB","CHI","TE","5200","6.4","-1.9","2.8","65523-39286","11.8"
"Julio Jones","TEN","KC","WR","6900","9.7","-2.0","3.3","65523-14190","15.3"
"Washington Football Team","WAS","GB","D","3800","3.6","-2.0","0.0","65523-12552","7.1"
"Elijah Moore","NYJ","NE","WR","4900","5.6","-2.1","0.5","65523-88575","8.2"
"Jalen Reagor","PHI","LV","WR","5200","6.2","-2.1","0.5","65523-94625","10.0"
"Chicago Bears","CHI","TB","D","3700","3.2","-2.1","0.0","65523-12527","6.6"
"Damien Williams","CHI","TB","RB","6100","7.9","-2.2","0.5","65523-27441","11.4"
"Cameron Brate","TB","CHI","TE","4600","4.9","-2.2","1.4","65523-54782","9.8"
"David Johnson","HOU","ARI","RB","5000","5.6","-2.3","0.5","65523-62497","8.3"
"Detroit Lions","DET","LA","D","3100","1.8","-2.3","0.2","65523-12532","4.7"
"Sony Michel","LA","DET","RB","5300","6.1","-2.4","0.5","65523-53640","11.1"
"Hunter Henry","NE","NYJ","TE","5700","6.9","-2.4","1.6","65523-40845","11.2"
"Collin Johnson","NYG","CAR","WR","4900","5.3","-2.4","0.5","65523-69836","8.3"
"Ryan Griffin","NYJ","NE","TE","4500","4.5","-2.4","0.7","65523-34073","6.8"
"Quez Watkins","PHI","LV","WR","5300","6.1","-2.4","0.7","65523-73687","10.0"
"KhaDarel Hodge","DET","LA","WR","4900","5.1","-2.6","0.5","65523-85306","7.5"
"Marcedes Lewis","GB","WAS","TE","4300","3.8","-2.7","0.5","65523-6672","8.1"
"Jonnu Smith","NE","NYJ","TE","4900","4.9","-2.8","0.5","65523-48116","8.8"
"Ty Johnson","NYJ","NE","RB","5100","5.3","-2.8","0.5","65523-63050","8.7"
"Zach Ertz","ARI","HOU","TE","5300","5.6","-2.9","0.5","65523-29780","11.2"
"Ian Thomas","CAR","NYG","TE","4500","4.0","-2.9","0.5","65523-72515","7.1"
"Allen Lazard","GB","WAS","WR","5500","5.9","-3.0","0.5","65523-56809","10.8"
"Ty'Son Williams","BAL","CIN","RB","5500","5.8","-3.1","0.5","65523-60977","9.5"
"Randall Cobb","GB","WAS","WR","5400","5.6","-3.1","0.5","65523-14257","10.3"
"Adam Humphries","WAS","GB","WR","5000","4.9","-3.1","0.5","65523-24671","7.6"
"Khalil Herbert","CHI","TB","RB","6000","6.7","-3.2","0.5","65523-72412","9.7"
"Salvon Ahmed","MIA","ATL","RB","5100","4.9","-3.2","0.5","65523-86780","8.3"
"Kendrick Bourne","NE","NYJ","WR","5300","5.3","-3.2","0.5","65523-80289","9.3"
"Jordan Akins","HOU","ARI","TE","4600","3.8","-3.3","0.5","65523-57338","5.3"
"Kyle Rudolph","NYG","CAR","TE","4300","3.2","-3.3","0.5","65523-14237","5.6"
"Anthony Firkser","TEN","KC","TE","4900","4.4","-3.3","0.5","65523-80294","8.5"
"Marquise Goodwin","CHI","TB","WR","4800","4.1","-3.4","0.5","65523-32243","6.3"
"Jerick McKinnon","KC","TEN","RB","5000","4.6","-3.4","0.5","65523-54608","8.2"
"Pharaoh Brown","HOU","ARI","TE","4500","3.4","-3.5","0.5","65523-29411","4.9"
"C.J. Uzomah","CIN","BAL","TE","5200","4.7","-3.6","0.5","65523-31207","7.6"
"Hayden Hurst","ATL","MIA","TE","4800","3.8","-3.7","0.5","65523-64031","7.6"
"Foster Moreau","LV","PHI","TE","4400","3.0","-3.7","0.5","65523-60712","6.7"
"Durham Smythe","MIA","ATL","TE","4500","3.3","-3.7","0.5","65523-42046","6.4"
"Le'Veon Bell","BAL","CIN","RB","5200","4.5","-3.8","0.5","65523-28181","7.8"
"Devin Duvernay","BAL","CIN","WR","5200","4.5","-3.8","0.5","65523-71032","8.5"
"Tommy Tremble","CAR","NYG","TE","4700","3.6","-3.8","0.5","65523-91101","6.8"
"DeSean Jackson","LA","DET","WR","5400","4.9","-3.8","0.5","65523-6739","10.9"
"Ronald Jones II","TB","CHI","RB","5100","4.3","-3.8","0.5","65523-63591","7.6"
"Danny Amendola","HOU","ARI","WR","4800","3.6","-3.9","0.5","65523-8117","5.0"
"Chris Moore","HOU","ARI","WR","5200","4.4","-3.9","0.5","65523-33047","6.1"
"Noah Gray","KC","TEN","TE","4100","2.2","-3.9","0.0","65523-93143","6.8"
"John Ross III","NYG","CAR","WR","5100","4.2","-3.9","0.5","65523-41475","7.1"
"Nick Westbrook-Ikhine","TEN","KC","WR","5200","4.4","-3.9","0.5","65523-64389","8.5"
"Giovani Bernard","TB","CHI","RB","4900","3.7","-4.0","0.5","65523-25290","7.0"
"Kenyan Drake","LV","PHI","RB","5500","4.8","-4.1","0.5","65523-30989","8.4"
"Malcolm Brown","MIA","ATL","RB","5200","4.1","-4.2","0.5","65523-32234","7.2"
"Byron Pringle","KC","TEN","WR","5200","4.0","-4.3","0.5","65523-69295","9.1"
"Shi Smith","CAR","NYG","WR","4600","2.7","-4.4","0.0","65523-91677","5.7"
"Geoff Swaim","TEN","KC","TE","4300","2.1","-4.4","0.0","65523-38523","5.7"
"Demarcus Robinson","KC","TEN","WR","5300","3.9","-4.6","0.5","65523-38264","9.0"
"Keelan Cole Sr.","NYJ","NE","WR","5100","3.5","-4.6","0.5","65523-79998","5.7"
"Jaelon Darden","TB","CHI","WR","4500","2.3","-4.6","0.0","65523-92093","6.5"
"Mack Hollins","MIA","ATL","WR","5100","3.4","-4.7","0.5","65523-25267","6.6"
"Josh Oliver","BAL","CIN","TE","4200","1.5","-4.8","0.0","65523-63907","4.9"
"Alex Erickson","CAR","NYG","WR","4700","2.5","-4.8","0.0","65523-28907","5.3"
"Nico Collins","HOU","ARI","WR","5100","3.3","-4.8","0.5","65523-91419","4.7"
"Royce Freeman","CAR","NYG","RB","4900","2.8","-4.9","0.0","65523-55970","5.6"
"Keith Kirkwood","CAR","NYG","WR","4500","2.0","-4.9","0.0","65523-45997","4.9"
"David Sills","NYG","CAR","WR","4500","2.0","-4.9","0.0","65523-61555","4.2"
"J.J. Taylor","NE","NYJ","RB","4900","2.7","-5.0","0.0","65523-72370","5.8"
"Samaje Perine","CIN","BAL","RB","5400","3.6","-5.1","0.5","65523-52451","6.5"
"Phillip Lindsay","HOU","ARI","RB","4900","2.6","-5.1","0.0","65523-41426","4.2"
"Adam Shaheen","MIA","ATL","TE","4200","1.3","-5.1","0.0","65523-79967","4.0"
"Chris Conley","HOU","ARI","WR","5000","2.7","-5.2","0.0","65523-30403","4.1"
"La'Mical Perine","NYJ","NE","RB","4600","1.9","-5.2","0.0","65523-71367","4.3"
"Lee Smith","ATL","MIA","TE","4200","1.1","-5.3","0.0","65523-14348","4.1"
"Jesse James","CHI","TB","TE","4100","0.8","-5.3","0.0","65523-28694","2.3"
"Drew Sample","CIN","BAL","TE","4100","0.8","-5.3","0.0","65523-56711","2.8"
"Geronimo Allison","DET","LA","WR","4500","1.6","-5.3","0.0","65523-52560","3.2"
"Darren Fells","DET","LA","TE","4100","0.8","-5.3","0.0","65523-38301","2.3"
"Daniel Brown","NYJ","NE","TE","4000","0.7","-5.3","0.0","65523-62718","2.2"
"Demetrius Harris","ARI","HOU","TE","4100","0.8","-5.4","0.0","65523-19342","5.2"
"Jalen Richard","LV","PHI","RB","4700","2.0","-5.4","0.0","65523-33578","4.8"
"Darrynton Evans","TEN","KC","RB","5200","2.9","-5.4","0.0","65523-70383","5.8"
"Marcus Johnson","TEN","KC","WR","5200","2.9","-5.4","0.0","65523-32235","6.8"
"Wayne Gallman Jr.","ATL","MIA","RB","4800","2.0","-5.5","0.0","65523-39818","4.8"
"Willie Snead IV","LV","PHI","WR","4600","1.6","-5.5","0.0","65523-44449","4.9"
"Trevon Wesco","NYJ","NE","TE","4100","0.7","-5.5","0.0","65523-70705","2.2"
"James Proche","BAL","CIN","WR","5000","2.3","-5.6","0.0","65523-63186","5.9"
"Cethan Carter","MIA","ATL","TE","4100","0.5","-5.6","0.0","65523-38722","3.1"
"Colin Thompson","CAR","NYG","TE","4000","0.2","-5.7","0.0","65523-30272","2.7"
"Damiere Byrd","CHI","TB","WR","4700","1.6","-5.7","0.0","65523-30678","3.3"
"Jesper Horsted","CHI","TB","TE","4200","0.6","-5.7","0.0","65523-104421","2.2"
"Matt Bushman","LV","PHI","TE","4000","0.2","-5.7","0.0","65523-90398","3.2"
"Jacob Harris","LA","DET","TE","4000","0.3","-5.7","0.0","65523-65607","4.9"
"Eli Penny","NYG","CAR","RB","5000","2.2","-5.7","0.0","65523-52931","4.7"
"John Bates","WAS","GB","TE","4200","0.7","-5.7","0.0","65523-72705","2.6"
"Josiah Deguara","GB","WAS","TE","4200","0.5","-5.8","0.0","65523-61112","4.1"
"Antony Auclair","HOU","ARI","TE","4200","0.4","-5.9","0.0","65523-80011","1.3"
"Zay Jones","LV","PHI","WR","4800","1.6","-5.9","0.0","65523-41305","4.9"
"Albert Wilson","MIA","ATL","WR","4800","1.6","-5.9","0.0","65523-48344","4.4"
"Keith Smith","ATL","MIA","RB","4500","0.9","-6.0","0.0","65523-43973","3.4"
"Alec Ingold","LV","PHI","RB","4600","1.1","-6.0","0.0","65523-63717","3.6"
"MyCole Pruitt","TEN","KC","TE","4800","1.5","-6.0","0.0","65523-62505","5.0"
"Chris Evans","CIN","BAL","RB","4800","1.3","-6.2","0.0","65523-73130","3.6"
"Auden Tate","CIN","BAL","WR","4900","1.5","-6.3","0.0","65523-64339","3.6"
"N'Keal Harry","NE","NYJ","WR","5000","1.6","-6.3","0.0","65523-69168","4.7"
"Kaden Smith","NYG","CAR","TE","4400","0.4","-6.3","0.0","65523-71806","2.3"
"Dax Milne","WAS","GB","WR","4500","0.7","-6.3","0.0","65523-90408","2.6"
"DeAndre Carter","WAS","GB","WR","4800","1.2","-6.3","0.0","65523-62628","3.3"
"Olamide Zaccheaus","ATL","MIA","WR","5300","2.1","-6.4","0.0","65523-64496","5.4"
"Patrick Ricard","BAL","CIN","RB","4500","0.5","-6.4","0.0","65523-80299","2.7"
"Tom Kennedy","DET","LA","WR","4600","0.7","-6.4","0.0","65523-104388","2.2"
"Michael Burton","KC","TEN","RB","4500","0.5","-6.4","0.0","65523-26057","3.0"
"Josh Gordon","KC","TEN","WR","5000","1.5","-6.4","0.0","65523-23194","5.9"
"JJ Arcega-Whiteside","PHI","LV","WR","4500","0.5","-6.4","0.0","65523-64907","3.1"
"Equanimeous St. Brown","GB","WAS","WR","4800","1.0","-6.5","0.0","65523-64841","4.7"
"Amari Rodgers","GB","WAS","WR","4600","0.5","-6.6","0.0","65523-89970","4.0"
"Rex Burkhead","HOU","ARI","RB","4500","0.4","-6.6","0.0","65523-27338","1.5"
"Braxton Berrios","NYJ","NE","WR","4800","0.9","-6.6","0.0","65523-52495","2.5"
"Rodney Smith","CAR","NYG","RB","4600","0.4","-6.7","0.0","65523-52591","2.5"
"Artavis Pierce","CHI","TB","RB","4600","0.5","-6.7","0.0","65523-71578","2.0"
"Jakeem Grant","CHI","TB","WR","4500","0.2","-6.7","0.0","65523-32703","1.6"
"Isaiah Ford","MIA","ATL","WR","4600","0.4","-6.7","0.0","65523-56356","3.0"
"Antonio Gandy-Golden","WAS","GB","WR","4600","0.4","-6.7","0.0","65523-94262","2.3"
"Kylin Hill","GB","WAS","RB","4600","0.3","-6.8","0.0","65523-91225","2.5"
"Boston Scott","PHI","LV","RB","4500","0.1","-6.8","0.0","65523-43433","2.2"
"Greg Ward","PHI","LV","WR","4900","0.9","-6.8","0.0","65523-40434","3.6"
"Khari Blasingame","TEN","KC","RB","4500","0.1","-6.8","0.0","65523-56041","2.1"
"C.J. Board","NYG","CAR","WR","4600","0.2","-6.9","0.0","65523-80281","2.1"
"Tajae Sharpe","ATL","MIA","WR","5100","1.1","-7.0","0.0","65523-47523","4.2"
"Miles Boykin","BAL","CIN","WR","4800","0.5","-7.0","0.0","65523-64827","3.6"
"Jeremy McNichols","TEN","KC","RB","5500","1.9","-7.0","0.0","65523-56648","4.6"
"Josh Reynolds","TEN","KC","WR","5100","0.9","-7.2","0.0","65523-53097","4.2"
"Denzel Mims","NYJ","NE","WR","5000","0.7","-7.3","0.0","65523-72453","2.2"
"Jaret Patterson","WAS","GB","RB","5300","1.2","-7.3","0.0","65523-88699","3.2"
"Cameron Batson","TEN","KC","WR","5000","0.4","-7.5","0.0","65523-57432","3.7"
"Jason Cabinda","DET","LA",,,"0.3","-10.0","0.0",,"1.6"
"Tyree Jackson","PHI","LV",,,"1.9","-10.0","0.0",,"4.7"
"Sterling Shepard","NYG","CAR","WR","6500","0.2","-10.7","1.8","65523-27477","2.1"
