Player,Team,Opponent,DK Position,DK Salary,DK Projection,DK Value,DK Ownership,DKSlateID,DK Ceiling
John Bates,WAS,LV,TE,2600,1.8,-6.4,0,20389312,3.9
Eno Benjamin,ARI,CHI,RB,4000,4.4,-6.5,0,20388824,8.1
Royce Freeman,HOU,IND,RB,4000,4.4,-6.5,0,20388818,7.5
Chris Manhertz,JAX,LA,TE,2500,1.4,-6.6,0,20389354,2.2
Jacob Hollister,JAX,LA,TE,2500,1.3,-6.6,0,20389358,2.1
Josh Oliver,BAL,PIT,TE,2500,1.3,-6.7,0,20389344,3.4
Stanley Morgan,CIN,LAC,WR,3000,2.3,-6.7,0,20389124,5.1
Jaylen Samuels,HOU,IND,RB,4000,4.2,-6.7,0,20388822,7.4
Salvon Ahmed,MIA,NYG,RB,4000,4.2,-6.7,0,20388804,8.3
Mack Hollins,MIA,NYG,WR,3100,2.4,-6.7,0,20388984,4.7
Chris Herndon,MIN,DET,TE,2500,1.3,-6.7,0,20389454,4.1
Austin Walter,NYJ,PHI,RB,4200,4.6,-6.7,0,20388652,8.8
Travis Benjamin,SF,SEA,WR,3000,2.3,-6.7,0,20389008,4.8
Drew Sample,CIN,LAC,TE,2500,1.2,-6.8,0,20389408,3.7
Darrell Daniels,ARI,CHI,TE,2500,1,-6.9,0,20389418,3.3
Jesse James,CHI,ARI,TE,2500,1.1,-6.9,0,20389432,1.8
Godwin Igwebuike,DET,MIN,RB,4000,4.1,-6.9,0,20388786,7.9
Chris Myarick,NYG,MIA,TE,2500,1,-6.9,0,20389480,1.6
Ben Skowronek,LA,JAX,WR,3000,1.9,-7,0,20389054,5.6
O.J. Howard,TB,ATL,TE,2600,1.1,-7,0,20389314,4.7
Cam Sims,WAS,LV,WR,3000,1.9,-7.1,0,20389068,4.1
Anthony Miller,PIT,BAL,WR,3000,1.7,-7.2,0,20389030,3.2
Lee Smith,ATL,TB,TE,2500,0.7,-7.3,0,20389392,1.7
Luke Stocker,MIN,DET,TE,2500,0.6,-7.3,0,20389456,3.2
Antony Auclair,HOU,IND,TE,2500,0.5,-7.4,0,20389502,1.1
Ashton Dulin,IND,HOU,WR,3000,1.6,-7.4,0,20389222,4.6
Hunter Long,MIA,NYG,TE,2500,0.6,-7.4,0,20389492,2.4
Qadree Ollison,ATL,TB,RB,4000,3.5,-7.5,0,20388738,6.4
Jaydon Mickens,JAX,LA,WR,3000,1.5,-7.5,0,20389042,2.5
Dede Westbrook,MIN,DET,WR,3000,1.5,-7.5,0,20389172,4.3
Kendall Blanton,LA,JAX,TE,2500,0.3,-7.6,0,20389362,3.5
Ronald Jones II,TB,ATL,RB,5000,5.3,-7.6,0.5,20388606,9.9
Sammy Watkins,BAL,PIT,WR,4200,3.6,-7.7,0,20388922,6.6
Khalil Herbert,CHI,ARI,RB,4300,3.9,-7.7,0,20388644,6.8
Carlos Hyde,JAX,LA,RB,4200,3.6,-7.7,0,20388654,6.6
Collin Johnson,NYG,MIA,WR,3000,1.3,-7.7,0,20389194,1.9
Tyree Jackson,PHI,NYJ,TE,2500,0.2,-7.7,0,20389440,2.3
Ross Dwelley,SF,SEA,TE,2500,0.3,-7.7,0,20389334,2.2
Colby Parkinson,SEA,SF,TE,2500,0.3,-7.7,0,20389324,1.5
Eric Tomlinson,BAL,PIT,TE,2500,0.1,-7.8,0,20389342,2
Alex Collins,SEA,SF,RB,5100,5.2,-7.9,0.5,20388602,8.1
DeeJay Dallas,SEA,SF,RB,4900,4.8,-8,0,20388616,7.9
Dezmon Patmon,IND,HOU,WR,3000,0.8,-8.1,0,20389224,3.6
Isaiah Ford,MIA,NYG,WR,3000,0.9,-8.1,0,20389210,2.8
Kene Nwangwu,MIN,DET,RB,4300,3.4,-8.1,0,20388642,7.5
Latavius Murray,BAL,PIT,RB,5100,4.9,-8.2,0,20388604,8.2
Breshad Perriman,TB,ATL,WR,3000,0.7,-8.2,0,20389096,4.2
Trenton Irwin,CIN,LAC,WR,3000,0.6,-8.4,0,20389128,3
KhaDarel Hodge,DET,MIN,WR,3000,0.5,-8.4,0,20389188,1.6
Preston Williams,MIA,NYG,WR,3000,0.6,-8.4,0,20389212,2.4
JJ Arcega-Whiteside,PHI,NYJ,WR,3000,0.5,-8.4,0,20389150,2.7
Greg Ward,PHI,NYJ,WR,3000,0.5,-8.4,0,20389152,2.6
Jaret Patterson,WAS,LV,RB,4000,2.5,-8.4,0,20388718,6.1
James Proche,BAL,PIT,WR,3000,0.5,-8.5,0,20389022,2.5
Jack Stoll,PHI,NYJ,TE,3000,0.5,-8.5,0,20389292,2.6
Wendell Smallwood,WAS,LV,RB,4000,2.4,-8.5,0,20388720,6
C.J. Ham,MIN,DET,RB,4000,2.4,-8.6,0,20388780,6.1
Tom Kennedy,DET,MIN,WR,3000,0.3,-8.7,0,20389190,1.3
JaMycal Hasty,SF,SEA,RB,4000,2.2,-8.7,0,20388666,5.5
Patrick Ricard,BAL,PIT,RB,4000,2.1,-8.8,0,20388686,4.8
Jermar Jefferson,DET,MIN,RB,4600,3.3,-8.8,0,20388630,7
Andre Roberts,LAC,CIN,WR,3000,0.2,-8.8,0,20389112,1.9
Jeff Wilson Jr.,SF,SEA,RB,4800,3.7,-8.8,0,20388618,7.6
Antoine Wesley,ARI,CHI,WR,3100,0.3,-8.9,0,20388990,2.4
Joshua Kelley,LAC,CIN,RB,4000,2,-8.9,0,20388746,4.5
Duke Johnson,MIA,NYG,RB,4000,2.1,-8.9,0,20388810,5.6
Kalen Ballage,PIT,BAL,RB,4000,2,-8.9,0,20388690,4.7
Anthony McFarland Jr.,PIT,BAL,RB,4000,1.8,-9.1,0,20388692,4.4
Devontae Booker,NYG,MIA,RB,4900,3.5,-9.2,0,20388614,5.9
Keith Smith,ATL,TB,RB,4000,1.4,-9.5,0,20388740,3.6
Peyton Barber,LV,WAS,RB,4000,1.2,-9.8,0,20388726,4.2
Patrick Laird,MIA,NYG,RB,4000,1.1,-9.8,0,20388802,4.4
Travis Homer,SEA,SF,RB,4200,1.5,-9.8,0,20388646,3.5
Jason Cabinda,DET,MIN,RB,4000,1,-9.9,0,20388788,3.9
Justin Jackson,LAC,CIN,RB,4000,1,-9.9,0,20388744,3.2
Larry Rountree III,LAC,CIN,RB,4000,1,-9.9,0,20388748,3.3
Parker Hesse,ATL,TB,,,1.9,-10,0,,3.2
Trayveon Williams,CIN,LAC,RB,4000,1,-10,0,20388760,4.9
Benny Snell Jr.,PIT,BAL,RB,4000,1,-10,0,20388688,3.3
Adrian Peterson,SEA,SF,,,5.8,-10,0,,9
Eli Penny,NYG,MIA,RB,4000,0.7,-10.2,0,20388798,2.4
Darius Bradwell,LAC,CIN,RB,4000,0.6,-10.3,0,20388750,2.5
Dare Ogunbowale,JAX,LA,RB,4000,0.5,-10.4,0,20388698,2.6
Ty'Son Williams,BAL,PIT,RB,4000,0.4,-10.5,0,20388676,2.6
Nick Bawden,NYJ,PHI,RB,4000,0.4,-10.5,0,20388778,3.3
Giovani Bernard,TB,ATL,RB,4900,2.2,-10.5,0,20388612,5.7
Deon Jackson,IND,HOU,RB,4000,0.2,-10.8,0,20388814,3.6
Marcus Mariota,LV,WAS,QB,4900,0.4,-14.8,0,20388511,4.4
Trey Lance,SF,SEA,QB,4900,0.3,-15,0,20388516,4.3
