"Player","Team","Opponent","FD Position","FD Salary","FD Projection","FD Value","FD Ownership","FDSlateID","FD Ceiling"
"Antonio Gandy-Golden","WAS","DEN","WR","4500","0.9","-6.0","0.0","65904-94262","3.1"
"Braxton Berrios","NYJ","CIN","WR","4700","1.2","-6.1","0.0","65904-52495","2.4"
"D'Ernest Johnson","CLE","PIT","RB","6700","5.1","-6.2","0.5","65904-57543","8.2"
"MyCole Pruitt","TEN","IND","TE","4900","1.5","-6.2","0.0","65904-62505","4.5"
"Jaret Patterson","WAS","DEN","RB","4800","1.3","-6.2","0.0","65904-88699","3.4"
"Damiere Byrd","CHI","SF","WR","4700","1.0","-6.3","0.0","65904-30678","2.7"
"Jesper Horsted","CHI","SF","TE","4300","0.2","-6.3","0.0","65904-104421","1.7"
"Kendall Hinton","DEN","WAS","WR","4600","0.9","-6.3","0.0","65904-61042","3.7"
"Eric Saubert","DEN","WAS","TE","4300","0.2","-6.3","0.0","65904-79980","2.9"
"Tom Kennedy","DET","PHI","WR","4600","0.8","-6.3","0.0","65904-104388","3.3"
"Jordan Howard","PHI","DET","RB","5000","1.6","-6.3","0.0","65904-42142","4.6"
"Kalen Ballage","PIT","CLE","RB","4900","1.4","-6.3","0.0","65904-52371","3.1"
"Jake Kumerow","BUF","MIA","WR","4500","0.6","-6.4","0.0","65904-27671","4.7"
"Devine Ozigbo","NO","TB","RB","4800","1.1","-6.4","0.0","65904-61060","3.0"
"Alex Armah","NO","TB","RB","4500","0.5","-6.4","0.0","65904-79982","2.2"
"Phillip Dorsett II","SEA","JAX","WR","4600","0.6","-6.5","0.0","65904-25813","3.4"
"Chris Moore","HOU","LA","WR","5000","1.3","-6.6","0.0","65904-33047","2.6"
"John Brown","DEN","WAS","WR","4500","0.3","-6.7","0.0","65904-54606","3.0"
"Ashton Dulin","IND","TEN","WR","4900","1.0","-6.7","0.0","65904-104012","4.5"
"Gunner Olszewski","NE","LAC","WR","4500","0.2","-6.7","0.0","65904-104577","2.7"
"Alex Erickson","CAR","ATL","WR","4700","0.5","-6.8","0.0","65904-28907","2.8"
"Jakeem Grant Sr.","CHI","SF","WR","4500","0.2","-6.8","0.0","65904-32703","1.7"
"Diontae Spencer","DEN","WAS","WR","4500","0.1","-6.8","0.0","65904-54817","2.8"
"Gabe Nabers","LAC","NE","RB","4500","0.1","-6.8","0.0","65904-72382","2.5"
"Johnny Stanton IV","CLE","PIT","RB","4600","0.2","-6.9","0.0","65904-38721","2.0"
"Isaiah Ford","MIA","BUF","WR","5000","1.1","-6.9","0.0","65904-56356","2.5"
"Ty Montgomery","NO","TB","RB","5500","2.0","-6.9","0.0","65904-29734","4.7"
"Keke Coutee","IND","TEN","WR","4700","0.2","-7.1","0.0","65904-64242","3.5"
"Benny Snell Jr.","PIT","CLE","RB","4800","0.4","-7.1","0.0","65904-70889","1.9"
"Travis Homer","SEA","JAX","RB","5500","1.8","-7.1","0.0","65904-71444","4.1"
"Penny Hart","SEA","JAX","WR","4900","0.6","-7.1","0.0","65904-63447","3.3"
"Ryan Nall","CHI","SF","RB","4700","0.2","-7.2","0.0","65904-57064","1.8"
"Auden Tate","CIN","NYJ","WR","4700","0.1","-7.2","0.0","65904-64339","3.3"
"Albert Wilson","MIA","BUF","WR","4700","0.2","-7.2","0.0","65904-48344","1.5"
"Greg Ward","PHI","DET","WR","5000","0.7","-7.2","0.0","65904-40434","3.8"
"DeeJay Dallas","SEA","JAX","RB","5600","1.8","-7.3","0.0","65904-94087","4.1"
"La'Mical Perine","NYJ","CIN","RB","4800","0.1","-7.4","0.0","65904-71367","1.8"
"Trey Sermon","SF","CHI","RB","5500","0.4","-8.5","0.0","65904-86646","2.3"
"Jason Cabinda","DET","PHI",,,"1.1","-10.0","0.0",,"3.6"
"Mike White","NYJ","CIN",,,"12.3","-10.0","0.0",,"16.1"
"Trey Lance","SF","CHI","QB","6900","1.8","-13.6","0.0","65904-149696","5.8"
