"Player","Team","Opponent","Y Position","Y Salary","Y Projection","Y Value","Y Ceiling","YSlateID"
"Danny Amendola","HOU","LA","WR","10","4.4","-2.1","6.2","3176867"
"Kevin White","NO","TB",,,"1.4","-2.1","4.0",
"David Njoku","CLE","PIT","TE","12","4.9","-2.2","8.6","3176722"
"Hunter Henry","NE","LAC","TE","19","6.9","-2.3","10.7","3176892"
"Jonnu Smith","NE","LAC","TE","14","5.3","-2.4","8.9","3176893"
"Indianapolis Colts","IND","TEN","DEF","14","5.3","-2.4","9.5","3176815"
"Durham Smythe","MIA","BUF","TE","10","4.0","-2.5","6.0","3176635"
"Ronald Jones II","TB","NO","RB","10","4.0","-2.5","6.7","3177014"
"Gabriel Davis","BUF","MIA","WR","12","4.5","-2.6","9.8","3176658"
"Tim Patrick","DEN","WAS","WR","18","6.3","-2.6","10.4","3176987"
"Tavon Austin","JAX","SEA","WR","10","3.8","-2.7","6.4","3176927"
"Tre'Quan Smith","NO","TB","WR","15","5.3","-2.7","8.7","3190510"
"Ross Dwelley","SF","CHI","TE","10","3.8","-2.7","6.9","3176669"
"Chicago Bears","CHI","SF","DEF","18","6.2","-2.7","10.7","3176698"
"Ian Thomas","CAR","ATL","TE","10","3.7","-2.8","6.7","3176600"
"J.J. Taylor","NE","LAC","RB","10","3.7","-2.8","6.7","3176901"
"Denzel Mims","NYJ","CIN","WR","10","3.7","-2.8","5.6","3176843"
"Gerald Everett","SEA","JAX","TE","13","4.6","-2.8","8.2","3177781"
"New York Jets","NYJ","CIN","DEF","13","4.6","-2.8","8.4","3176849"
"Albert Okwuegbunam","DEN","WAS","TE","10","3.6","-2.9","7.1","3190501"
"Ray-Ray McCloud III","PIT","CLE","WR","10","3.6","-2.9","5.9","3176706"
"Phillip Dorsett","SEA","JAX",,,"0.6","-2.9","3.4",
"Giovani Bernard","TB","NO","RB","11","3.9","-2.9","6.7","3177007"
"Tennessee Titans","TEN","IND","DEF","12","4.2","-2.9","7.9","3176814"
"Brock Wright","DET","PHI",,,"0.5","-3.0","2.9",
"Jack Doyle","IND","TEN","TE","10","3.5","-3.0","7.5","3176794"
"Marquise Goodwin","CHI","SF","WR","10","3.4","-3.1","5.5","3176683"
"Tajae Sharpe","ATL","CAR","WR","10","3.3","-3.2","7.0","3176611"
"Samaje Perine","CIN","NYJ","RB","16","5.1","-3.2","9.6","3186599"
"John Brown","DEN","WAS",,,"0.3","-3.2","3.0",
"Joshua Palmer","LAC","NE","WR","10","3.3","-3.2","7.3","3176921"
"Mark Ingram II","NO","TB","RB","12","3.9","-3.2","6.5","3176869"
"New England Patriots","NE","LAC","DEF","14","4.5","-3.2","8.3","3176924"
"C.J. Uzomah","CIN","NYJ","TE","17","5.3","-3.3","9.8","3176817"
"Donald Parham Jr.","LAC","NE","TE","10","3.2","-3.3","7.3","3176916"
"Royce Freeman","CAR","ATL","RB","10","3.1","-3.4","5.8","3176599"
"Tommy Tremble","CAR","ATL","TE","11","3.4","-3.4","6.4","3176603"
"Joshua Kelley","LAC","NE","RB","10","3.1","-3.4","6.2","3176918"
"Rashaad Penny","SEA","JAX","RB","18","5.5","-3.4","8.7","3190514"
"Anthony Firkser","TEN","IND","TE","11","3.4","-3.4","6.7","3176783"
"Juwan Johnson","NO","TB","TE","12","3.6","-3.5","6.6","3177036"
"Ryan Griffin","NYJ","CIN","TE","10","3.0","-3.5","4.5","3176831"
"New Orleans Saints","NO","TB","DEF","14","4.2","-3.5","7.9","3177042"
"Marlon Mack","IND","TEN","RB","10","2.9","-3.6","6.2","3176798"
"Miami Dolphins","MIA","BUF","DEF","10","2.9","-3.6","6.2","3176661"
"DeAndre Carter","WAS","DEN","WR","10","2.8","-3.7","5.4","3176964"
"Lil'Jordan Humphrey","NO","TB","WR","10","2.7","-3.8","5.6","3177033"
"Dax Milne","WAS","DEN","WR","10","2.7","-3.8","5.3","3176977"
"Carolina Panthers","CAR","ATL","DEF","19","5.4","-3.8","9.5","3176625"
"Shi Smith","CAR","ATL","WR","10","2.5","-4.0","5.3","3176605"
"Demetric Felton","CLE","PIT","RB","12","3.1","-4.0","5.9","3176731"
"Houston Texans","HOU","LA","DEF","10","2.5","-4.0","5.5","3176887"
"Trinity Benson","DET","PHI","WR","10","2.4","-4.1","5.3","3176763"
"Justin Jackson","LAC","NE","RB","10","2.4","-4.1","5.5","3176913"
"Mack Hollins","MIA","BUF","WR","10","2.4","-4.1","4.1","3176632"
"Anthony Schwartz","CLE","PIT","WR","10","2.2","-4.3","5.4","3176730"
"Kyle Juszczyk","SF","CHI","RB","11","2.5","-4.3","5.0","3176665"
"Trent Sherfield","SF","CHI","WR","10","2.2","-4.3","5.0","3176668"
"Rex Burkhead","HOU","LA","RB","10","2.1","-4.4","4.0","3176870"
"Chris Conley","HOU","LA","WR","10","2.1","-4.4","3.6","3176872"
"Tutu Atwell","LA","HOU","WR","10","2.1","-4.4","6.8","3176862"
"Tyler Kroft","NYJ","CIN","TE","10","2.1","-4.4","3.5","3176833"
"Will Dissly","SEA","JAX","TE","12","2.7","-4.4","5.8","3176951"
"Geoff Swaim","TEN","IND","TE","10","2.1","-4.4","5.1","3176777"
"Isaiah McKenzie","BUF","MIA","WR","10","2.0","-4.5","6.5","3176651"
"Ty Montgomery","NO","TB","WR","10","2.0","-4.5","4.7","3177023"
